,Keyword,Ranking,Traffic Source,Landing Page,Keyword Difficulty
5,swimming lessons adults south kensington,1.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,17
12,swimming lessons children south kensington,1.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,18
18,swimming lessons adults kensington,2.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,17
21,swimming lessons babies kensington,2.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,16
23,swimming lessons children kensington,2.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,15
39,swimming lessons kids kensington,3.0,local,https://www.swimmingnature.com/,16
51,swimming lessons babies south kensington,4.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,17
55,swimming lessons kensington,4.0,local,https://www.swimmingnature.com/,21
57,swimming lessons kids south kensington,4.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,12
58,swimming lessons south kensington,4.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,15
19,swimming lessons adults streatham,2.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-streatham.html,25
33,swimming lessons babies streatham,3.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-streatham.html,15
38,swimming lessons children streatham,3.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-streatham.html,14
65,swimming lessons streatham,5.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-streatham.html,15
70,swimming lessons kids streatham,6.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-streatham.html,18
