Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
Ang101,Swimming Nature - Dartford,"Dartford Girls' Grammar School, Shepherds Lane, Dartford DA1 2NT",,75,20,38,3,0,0,0,7,11,0,0,0
,Swimming Nature Cricklewood,"152 Cricklewood Broadway, London NW2 3ED",,42,9,51,17,2,0,0,16,13,0,0,0
,Swimming Nature - Chafford Hundred,"Bannatynes, Howard Road, Chafford Hundred RM16 6YJ",,107,15,47,7,7,0,0,8,15,0,0,0
Ang401,Swimming Nature - Rochester/Medway,"King's School, St Margaret's Street, Rochester ME1 1TR",,178,16,43,7,3,0,0,9,10,0,0,0
04577738611804776609,Swimming Nature - Hendon,"260 Central Circus, Hendon Way, Hendon, London NW4 3NL",,8,7,10,11,0,0,0,0,2,0,0,0
Ang1102,Swimming Nature,"Mecure Hotel, Hollingbourne, Maidstone ME17 1RE",,16,0,7,1,0,0,0,4,2,0,0,0
Ang804,Swimming Nature - Ramsgate/East Kent,"St Lawrence College, College Road, Ramsgate CT11 7AE",,88,16,28,3,0,0,0,1,19,0,0,0
03441624571790116661,Swimming Nature - Hampstead,"Fleet Road, London NW3 2QG",,7,14,28,35,0,0,0,4,6,0,0,0
07613620986941096125,Swimming Nature - Porchester Centre,"Queensway, Porchester Road, London W2 5HS",,7,7,20,9,0,0,0,15,7,0,0,0
04688255372508390457,Swimming Nature - Muswell Hill,"202 Creighton Avenue, London N2 9BJ",,27,8,43,21,5,0,0,7,24,0,0,0
00018942765390127205,Swimming Nature - Weybridge,"Greenlands Farm, Walton Lane, Weybridge KT13 8QA",,14,5,21,17,0,0,0,3,8,0,0,0
Ang502,Swimming Nature - Southwark,"Darwin Court, 1 Crail Row, London SE17 1AD",,32,11,59,9,0,0,0,5,8,0,0,0
03601396764507590856,Swimming Nature - Chingford,"2 Morrison Avenue, London N17 6TU",,9,7,30,19,0,0,0,3,3,0,0,0
Ang701,Swimming Nature - Bexhill-on-sea/Hastings,"Battle Abbey Swimming Pool, Next to Bexhill 6th Form College, 30 Penland Road, Bexhill-on-Sea TN40 2JG",,112,16,31,11,2,0,0,4,19,0,0,0
Ang304,Swimming Nature - Rayleigh/Essex,"Sweyne Park School, Sir Walter Raleigh Drive, Rayleigh SS6 9BZ",,79,11,26,3,0,0,0,0,11,0,0,0
Ang202,Swimming Nature - Gravesend,"Cecil Road Primary School, Cecil Road, Gravesend DA11 7BT",,83,7,37,4,1,0,0,4,7,0,0,0
,Swimming Nature,"The Maqam Centre, London NW10 3HJ",,672,247,140,34,80,0,0,8,170,0,0,0
03048964391325926550,Swimming Nature - Banbury,"Oxford Road, Banbury OX15 4AF",,48,17,25,6,0,0,0,5,12,0,0,0
,Swimming Nature - Baker Street,"Fitness First, 55 Baker Street, London W1U 8EW",,61,32,49,27,1,0,0,5,15,0,0,0
02779236184391493872,Swimming Nature - Bickley,"Bickley Park School, 24 Page Heath Lane, Bromley BR1 2DS",,18,9,13,3,0,0,0,3,7,0,0,0
Ang504,Swimming Nature - Bromley,"Bromley High School, Blackbrook Lane, Bromley BR1 2TW",,107,16,62,4,1,0,0,6,9,0,0,0
Ang1201,Swimming Nature - Otford/Sevenoaks,"St Michaels School, Otford Court, Ortford TN14 5SA",,12,4,8,6,0,0,0,5,2,0,0,0
Ang501,Swimming Nature - Charlton/Greenwich,"Charlton Park Academy, Charlton Park Road, London SE7 8HX",,48,15,22,5,0,0,0,5,5,0,0,0
Ang306,Swimming Nature - Shenfield/Essex,"Chelmsford Road, Shenfield CM15 8SA",,53,19,19,8,0,0,0,12,17,0,0,0
03092429816549889202,Swimming Nature - Swiss Cottage,"128 King Henry's Road, London NW3 3ST",,5,7,19,38,1,0,0,0,2,0,0,0
Ang305,Swimming Nature - Laindon/Essex,"The James Hornsby School, Leinster Road, Laindon SS15 5NX",,30,4,15,6,1,0,0,9,7,0,0,0
03836405279020498546,Swimming Nature - Eastbourne,"7 Edward Road, Masthead Close, Eastbourne BN23 8AS",,65,6,18,9,0,0,0,3,6,0,0,0
Ang102,Swimming Nature - Dartford,"Doubletree by Hilton Hotel, Masthead Close, Crossways Business Park, Dartford DA1 6QF",,198,31,47,9,1,0,0,1,33,0,0,0
00048978576619086957,Swimming Nature - Kensington,"Wrights Lane, London W8 5SP",,22,7,36,33,1,0,0,16,9,0,0,0
02007214386625493977,Swimming Nature - Grove Park,"35 Marvels Lane, London SE12 9PN",,9,3,12,21,0,0,0,11,3,0,0,0
Ang802,Swimming Nature - Whitstable/East Kent,"Tree Tops Retreat Spa, Wraik Hill, Whitstable CT5 3BY",,13,3,5,5,0,0,0,2,3,0,0,0
Ang201,Swimming Nature - Cobham/Gravesend,"Cobham Hall School, Cobham Hall, Brewers Road, Cobham DA12 3BL",,43,12,35,9,1,0,0,8,11,0,0,0
Ang402,Swimming Nature - Rochester/Medway,"Hilltop Primary School, Hilltop Road, Rochester ME2 4QN",,124,19,40,3,1,0,0,19,20,0,0,0
,Swimming Nature - Highbury,"Fitness First, Unit A East Stand, Avenell Road, London N5 1FE",,62,19,31,29,3,0,0,2,10,0,0,0
Ang601,Swimming Nature - Surrey,"Notre Dame School, Convent Lane, Cobham, Surrey, Cobham KT11 1HA",,135,37,44,18,0,0,0,1,14,0,0,0
Ang301,Swimming Nature - Brentwood/Essex,"Brentwood County High, Seven Arches Road, Brentwood CM14 4JF",,116,31,30,11,0,0,0,15,22,0,0,0
Ang801,Swimming Nature - Whitstable/East Kent,"Joy Lane Primary School, Joy Lane, Whitstable CT5 4LT",,81,12,28,4,2,0,0,0,16,0,0,0
